Census,School,Category,Year,Students
09-Feb-24,Ainslie School,Gov,Preschool,51
09-Feb-24,Ainslie School,Gov,Kindergarten,51
09-Feb-24,Ainslie School,Gov,Year 1,73
09-Feb-24,Ainslie School,Gov,Year 2,53
09-Feb-24,Ainslie School,Gov,Year 3,60
09-Feb-24,Ainslie School,Gov,Year 4,45
09-Feb-24,Ainslie School,Gov,Year 5,54
09-Feb-24,Ainslie School,Gov,Year 6,54
09-Feb-24,Alfred Deakin High School,Gov,Year 7,213
09-Feb-24,Alfred Deakin High School,Gov,Year 8,193
09-Feb-24,Alfred Deakin High School,Gov,Year 9,246
09-Feb-24,Alfred Deakin High School,Gov,Year 10,211
09-Feb-24,Amaroo School,Gov,Preschool,86
09-Feb-24,Amaroo School,Gov,Kindergarten,72
09-Feb-24,Amaroo School,Gov,Year 1,80
09-Feb-24,Amaroo School,Gov,Year 2,98
09-Feb-24,Amaroo School,Gov,Year 3,108
09-Feb-24,Amaroo School,Gov,Year 4,93
09-Feb-24,Amaroo School,Gov,Year 5,140
09-Feb-24,Amaroo School,Gov,Year 6,150
09-Feb-24,Amaroo School,Gov,Year 7,240
09-Feb-24,Amaroo School,Gov,Year 8,266
09-Feb-24,Amaroo School,Gov,Year 9,243
09-Feb-24,Amaroo School,Gov,Year 10,226
09-Feb-24,Aranda Primary School,Gov,Preschool,60
09-Feb-24,Aranda Primary School,Gov,Kindergarten,56
09-Feb-24,Aranda Primary School,Gov,Year 1,70
09-Feb-24,Aranda Primary School,Gov,Year 2,84
09-Feb-24,Aranda Primary School,Gov,Year 3,60
09-Feb-24,Aranda Primary School,Gov,Year 4,83
09-Feb-24,Aranda Primary School,Gov,Year 5,79
09-Feb-24,Aranda Primary School,Gov,Year 6,72
09-Feb-24,Arawang Primary School,Gov,Preschool,66
09-Feb-24,Arawang Primary School,Gov,Kindergarten,61
09-Feb-24,Arawang Primary School,Gov,Year 1,62
09-Feb-24,Arawang Primary School,Gov,Year 2,80
09-Feb-24,Arawang Primary School,Gov,Year 3,66
09-Feb-24,Arawang Primary School,Gov,Year 4,66
09-Feb-24,Arawang Primary School,Gov,Year 5,59
09-Feb-24,Arawang Primary School,Gov,Year 6,76
09-Feb-24,Belconnen High School,Gov,Year 7,149
09-Feb-24,Belconnen High School,Gov,Year 8,145
09-Feb-24,Belconnen High School,Gov,Year 9,158
09-Feb-24,Belconnen High School,Gov,Year 10,148
09-Feb-24,Black Mountain School,Gov,Year 7,13
09-Feb-24,Black Mountain School,Gov,Year 8,24
09-Feb-24,Black Mountain School,Gov,Year 9,22
09-Feb-24,Black Mountain School,Gov,Year 10,24
09-Feb-24,Black Mountain School,Gov,Year 11,14
09-Feb-24,Black Mountain School,Gov,Year 12,18
09-Feb-24,Bonython Primary School,Gov,Preschool,42
09-Feb-24,Bonython Primary School,Gov,Kindergarten,44
09-Feb-24,Bonython Primary School,Gov,Year 1,48
09-Feb-24,Bonython Primary School,Gov,Year 2,57
09-Feb-24,Bonython Primary School,Gov,Year 3,57
09-Feb-24,Bonython Primary School,Gov,Year 4,47
09-Feb-24,Bonython Primary School,Gov,Year 5,51
09-Feb-24,Bonython Primary School,Gov,Year 6,64
09-Feb-24,Calwell High School,Gov,Year 7,76
09-Feb-24,Calwell High School,Gov,Year 8,91
09-Feb-24,Calwell High School,Gov,Year 9,95
09-Feb-24,Calwell High School,Gov,Year 10,102
09-Feb-24,Calwell Primary School,Gov,Preschool,32
09-Feb-24,Calwell Primary School,Gov,Kindergarten,36
09-Feb-24,Calwell Primary School,Gov,Year 1,28
09-Feb-24,Calwell Primary School,Gov,Year 2,26
09-Feb-24,Calwell Primary School,Gov,Year 3,35
09-Feb-24,Calwell Primary School,Gov,Year 4,32
09-Feb-24,Calwell Primary School,Gov,Year 5,31
09-Feb-24,Calwell Primary School,Gov,Year 6,31
09-Feb-24,Campbell High School,Gov,Year 7,80
09-Feb-24,Campbell High School,Gov,Year 8,117
09-Feb-24,Campbell High School,Gov,Year 9,120
09-Feb-24,Campbell High School,Gov,Year 10,144
09-Feb-24,Campbell Primary School,Gov,Preschool,42
09-Feb-24,Campbell Primary School,Gov,Kindergarten,41
09-Feb-24,Campbell Primary School,Gov,Year 1,44
09-Feb-24,Campbell Primary School,Gov,Year 2,42
09-Feb-24,Campbell Primary School,Gov,Year 3,47
09-Feb-24,Campbell Primary School,Gov,Year 4,31
09-Feb-24,Campbell Primary School,Gov,Year 5,50
09-Feb-24,Campbell Primary School,Gov,Year 6,31
09-Feb-24,"Canberra College, The",Gov,Year 11,561
09-Feb-24,"Canberra College, The",Gov,Year 12,527
09-Feb-24,"Canberra College, The",Gov,Mature,18
09-Feb-24,"Canberra College, The",Gov,Mature,62
09-Feb-24,Canberra High School,Gov,Year 7,201
09-Feb-24,Canberra High School,Gov,Year 8,214
09-Feb-24,Canberra High School,Gov,Year 9,222
09-Feb-24,Canberra High School,Gov,Year 10,234
09-Feb-24,Caroline Chisholm School,Gov,Preschool,22
09-Feb-24,Caroline Chisholm School,Gov,Kindergarten,25
09-Feb-24,Caroline Chisholm School,Gov,Year 1,30
09-Feb-24,Caroline Chisholm School,Gov,Year 2,23
09-Feb-24,Caroline Chisholm School,Gov,Year 3,21
09-Feb-24,Caroline Chisholm School,Gov,Year 4,42
09-Feb-24,Caroline Chisholm School,Gov,Year 5,31
09-Feb-24,Caroline Chisholm School,Gov,Year 6,29
09-Feb-24,Caroline Chisholm School,Gov,Year 7,116
09-Feb-24,Caroline Chisholm School,Gov,Year 8,91
09-Feb-24,Caroline Chisholm School,Gov,Year 9,100
09-Feb-24,Caroline Chisholm School,Gov,Year 10,103
09-Feb-24,Chapman Primary School,Gov,Preschool,83
09-Feb-24,Chapman Primary School,Gov,Kindergarten,71
09-Feb-24,Chapman Primary School,Gov,Year 1,79
09-Feb-24,Chapman Primary School,Gov,Year 2,87
09-Feb-24,Chapman Primary School,Gov,Year 3,78
09-Feb-24,Chapman Primary School,Gov,Year 4,79
09-Feb-24,Chapman Primary School,Gov,Year 5,63
09-Feb-24,Chapman Primary School,Gov,Year 6,66
09-Feb-24,Charles Conder Primary School,Gov,Preschool,104
09-Feb-24,Charles Conder Primary School,Gov,Kindergarten,65
09-Feb-24,Charles Conder Primary School,Gov,Year 1,55
09-Feb-24,Charles Conder Primary School,Gov,Year 2,54
09-Feb-24,Charles Conder Primary School,Gov,Year 3,66
09-Feb-24,Charles Conder Primary School,Gov,Year 4,71
09-Feb-24,Charles Conder Primary School,Gov,Year 5,55
09-Feb-24,Charles Conder Primary School,Gov,Year 6,77
09-Feb-24,Charles Weston School,Gov,Preschool,86
09-Feb-24,Charles Weston School,Gov,Kindergarten,64
09-Feb-24,Charles Weston School,Gov,Year 1,75
09-Feb-24,Charles Weston School,Gov,Year 2,80
09-Feb-24,Charles Weston School,Gov,Year 3,59
09-Feb-24,Charles Weston School,Gov,Year 4,72
09-Feb-24,Charles Weston School,Gov,Year 5,65
09-Feb-24,Charles Weston School,Gov,Year 6,53
09-Feb-24,Charnwood-Dunlop School,Gov,Preschool,30
09-Feb-24,Charnwood-Dunlop School,Gov,Preschool,41
09-Feb-24,Charnwood-Dunlop School,Gov,Kindergarten,52
09-Feb-24,Charnwood-Dunlop School,Gov,Year 1,45
09-Feb-24,Charnwood-Dunlop School,Gov,Year 2,41
09-Feb-24,Charnwood-Dunlop School,Gov,Year 3,50
09-Feb-24,Charnwood-Dunlop School,Gov,Year 4,55
09-Feb-24,Charnwood-Dunlop School,Gov,Year 5,40
09-Feb-24,Charnwood-Dunlop School,Gov,Year 6,42
09-Feb-24,Cranleigh School,Gov,Preschool,5
09-Feb-24,Cranleigh School,Gov,Kindergarten,10
09-Feb-24,Cranleigh School,Gov,Year 1,19
09-Feb-24,Cranleigh School,Gov,Year 2,22
09-Feb-24,Cranleigh School,Gov,Year 3,12
09-Feb-24,Cranleigh School,Gov,Year 4,12
09-Feb-24,Cranleigh School,Gov,Year 5,9
09-Feb-24,Cranleigh School,Gov,Year 6,10
09-Feb-24,Curtin Primary School,Gov,Preschool,63
09-Feb-24,Curtin Primary School,Gov,Kindergarten,43
09-Feb-24,Curtin Primary School,Gov,Year 1,59
09-Feb-24,Curtin Primary School,Gov,Year 2,55
09-Feb-24,Curtin Primary School,Gov,Year 3,64
09-Feb-24,Curtin Primary School,Gov,Year 4,59
09-Feb-24,Curtin Primary School,Gov,Year 5,61
09-Feb-24,Curtin Primary School,Gov,Year 6,72
09-Feb-24,Dickson College,Gov,Year 7,8
09-Feb-24,Dickson College,Gov,Year 8,11
09-Feb-24,Dickson College,Gov,Year 9,9
09-Feb-24,Dickson College,Gov,Year 10,14
09-Feb-24,Dickson College,Gov,Year 11,422
09-Feb-24,Dickson College,Gov,Year 12,377
09-Feb-24,Duffy Primary School,Gov,Preschool,42
09-Feb-24,Duffy Primary School,Gov,Kindergarten,50
09-Feb-24,Duffy Primary School,Gov,Year 1,49
09-Feb-24,Duffy Primary School,Gov,Year 2,65
09-Feb-24,Duffy Primary School,Gov,Year 3,50
09-Feb-24,Duffy Primary School,Gov,Year 4,53
09-Feb-24,Duffy Primary School,Gov,Year 5,55
09-Feb-24,Duffy Primary School,Gov,Year 6,54
09-Feb-24,Erindale College,Gov,Year 10,85
09-Feb-24,Erindale College,Gov,Year 11,412
09-Feb-24,Erindale College,Gov,Year 12,317
09-Feb-24,Evatt Primary School,Gov,Preschool,34
09-Feb-24,Evatt Primary School,Gov,Kindergarten,47
09-Feb-24,Evatt Primary School,Gov,Year 1,39
09-Feb-24,Evatt Primary School,Gov,Year 2,40
09-Feb-24,Evatt Primary School,Gov,Year 3,32
09-Feb-24,Evatt Primary School,Gov,Year 4,49
09-Feb-24,Evatt Primary School,Gov,Year 5,37
09-Feb-24,Evatt Primary School,Gov,Year 6,40
09-Feb-24,Evelyn Scott School,Gov,Preschool,86
09-Feb-24,Evelyn Scott School,Gov,Kindergarten,82
09-Feb-24,Evelyn Scott School,Gov,Year 1,76
09-Feb-24,Evelyn Scott School,Gov,Year 2,69
09-Feb-24,Evelyn Scott School,Gov,Year 3,44
09-Feb-24,Evelyn Scott School,Gov,Year 4,62
09-Feb-24,Evelyn Scott School,Gov,Year 5,37
09-Feb-24,Evelyn Scott School,Gov,Year 6,42
09-Feb-24,Evelyn Scott School,Gov,Year 7,62
09-Feb-24,Evelyn Scott School,Gov,Year 8,46
09-Feb-24,Evelyn Scott School,Gov,Year 9,31
09-Feb-24,Evelyn Scott School,Gov,Year 10,25
09-Feb-24,Fadden Primary School,Gov,Preschool,34
09-Feb-24,Fadden Primary School,Gov,Kindergarten,40
09-Feb-24,Fadden Primary School,Gov,Year 1,30
09-Feb-24,Fadden Primary School,Gov,Year 2,37
09-Feb-24,Fadden Primary School,Gov,Year 3,39
09-Feb-24,Fadden Primary School,Gov,Year 4,38
09-Feb-24,Fadden Primary School,Gov,Year 5,34
09-Feb-24,Fadden Primary School,Gov,Year 6,23
09-Feb-24,Farrer Primary School,Gov,Preschool,42
09-Feb-24,Farrer Primary School,Gov,Kindergarten,38
09-Feb-24,Farrer Primary School,Gov,Year 1,40
09-Feb-24,Farrer Primary School,Gov,Year 2,40
09-Feb-24,Farrer Primary School,Gov,Year 3,38
09-Feb-24,Farrer Primary School,Gov,Year 4,41
09-Feb-24,Farrer Primary School,Gov,Year 5,25
09-Feb-24,Farrer Primary School,Gov,Year 6,45
09-Feb-24,Florey Primary School,Gov,Preschool,61
09-Feb-24,Florey Primary School,Gov,Kindergarten,50
09-Feb-24,Florey Primary School,Gov,Year 1,59
09-Feb-24,Florey Primary School,Gov,Year 2,61
09-Feb-24,Florey Primary School,Gov,Year 3,63
09-Feb-24,Florey Primary School,Gov,Year 4,57
09-Feb-24,Florey Primary School,Gov,Year 5,53
09-Feb-24,Florey Primary School,Gov,Year 6,51
09-Feb-24,Forrest Primary School,Gov,Preschool,38
09-Feb-24,Forrest Primary School,Gov,Kindergarten,60
09-Feb-24,Forrest Primary School,Gov,Year 1,53
09-Feb-24,Forrest Primary School,Gov,Year 2,69
09-Feb-24,Forrest Primary School,Gov,Year 3,67
09-Feb-24,Forrest Primary School,Gov,Year 4,86
09-Feb-24,Forrest Primary School,Gov,Year 5,74
09-Feb-24,Forrest Primary School,Gov,Year 6,81
09-Feb-24,Franklin School,Gov,Preschool,1
09-Feb-24,Franklin School,Gov,Preschool,73
09-Feb-24,Franklin School,Gov,Kindergarten,80
09-Feb-24,Franklin School,Gov,Year 1,75
09-Feb-24,Franklin School,Gov,Year 2,68
09-Feb-24,Franklin School,Gov,Year 3,78
09-Feb-24,Franklin School,Gov,Year 4,64
09-Feb-24,Franklin School,Gov,Year 5,45
09-Feb-24,Franklin School,Gov,Year 6,50
09-Feb-24,Fraser Primary School,Gov,Preschool,65
09-Feb-24,Fraser Primary School,Gov,Kindergarten,56
09-Feb-24,Fraser Primary School,Gov,Year 1,60
09-Feb-24,Fraser Primary School,Gov,Year 2,69
09-Feb-24,Fraser Primary School,Gov,Year 3,75
09-Feb-24,Fraser Primary School,Gov,Year 4,79
09-Feb-24,Fraser Primary School,Gov,Year 5,78
09-Feb-24,Fraser Primary School,Gov,Year 6,78
09-Feb-24,Garran Primary School,Gov,Preschool,42
09-Feb-24,Garran Primary School,Gov,Kindergarten,63
09-Feb-24,Garran Primary School,Gov,Year 1,74
09-Feb-24,Garran Primary School,Gov,Year 2,100
09-Feb-24,Garran Primary School,Gov,Year 3,81
09-Feb-24,Garran Primary School,Gov,Year 4,91
09-Feb-24,Garran Primary School,Gov,Year 5,87
09-Feb-24,Garran Primary School,Gov,Year 6,85
09-Feb-24,Gilmore Primary School,Gov,Preschool,13
09-Feb-24,Gilmore Primary School,Gov,Kindergarten,22
09-Feb-24,Gilmore Primary School,Gov,Year 1,26
09-Feb-24,Gilmore Primary School,Gov,Year 2,12
09-Feb-24,Gilmore Primary School,Gov,Year 3,19
09-Feb-24,Gilmore Primary School,Gov,Year 4,20
09-Feb-24,Gilmore Primary School,Gov,Year 5,12
09-Feb-24,Gilmore Primary School,Gov,Year 6,21
09-Feb-24,Giralang Primary School,Gov,Preschool,40
09-Feb-24,Giralang Primary School,Gov,Kindergarten,33
09-Feb-24,Giralang Primary School,Gov,Year 1,33
09-Feb-24,Giralang Primary School,Gov,Year 2,36
09-Feb-24,Giralang Primary School,Gov,Year 3,50
09-Feb-24,Giralang Primary School,Gov,Year 4,50
09-Feb-24,Giralang Primary School,Gov,Year 5,38
09-Feb-24,Giralang Primary School,Gov,Year 6,35
09-Feb-24,Gold Creek School,Gov,Preschool,91
09-Feb-24,Gold Creek School,Gov,Kindergarten,82
09-Feb-24,Gold Creek School,Gov,Year 1,85
09-Feb-24,Gold Creek School,Gov,Year 2,84
09-Feb-24,Gold Creek School,Gov,Year 3,81
09-Feb-24,Gold Creek School,Gov,Year 4,90
09-Feb-24,Gold Creek School,Gov,Year 5,80
09-Feb-24,Gold Creek School,Gov,Year 6,77
09-Feb-24,Gold Creek School,Gov,Year 7,174
09-Feb-24,Gold Creek School,Gov,Year 8,175
09-Feb-24,Gold Creek School,Gov,Year 9,172
09-Feb-24,Gold Creek School,Gov,Year 10,151
09-Feb-24,Gordon Primary School,Gov,Preschool,66
09-Feb-24,Gordon Primary School,Gov,Kindergarten,53
09-Feb-24,Gordon Primary School,Gov,Year 1,51
09-Feb-24,Gordon Primary School,Gov,Year 2,73
09-Feb-24,Gordon Primary School,Gov,Year 3,70
09-Feb-24,Gordon Primary School,Gov,Year 4,61
09-Feb-24,Gordon Primary School,Gov,Year 5,56
09-Feb-24,Gordon Primary School,Gov,Year 6,55
09-Feb-24,Gowrie Primary School,Gov,Preschool,30
09-Feb-24,Gowrie Primary School,Gov,Kindergarten,40
09-Feb-24,Gowrie Primary School,Gov,Year 1,34
09-Feb-24,Gowrie Primary School,Gov,Year 2,35
09-Feb-24,Gowrie Primary School,Gov,Year 3,31
09-Feb-24,Gowrie Primary School,Gov,Year 4,35
09-Feb-24,Gowrie Primary School,Gov,Year 5,39
09-Feb-24,Gowrie Primary School,Gov,Year 6,35
09-Feb-24,Gungahlin College,Gov,Year 10,14
09-Feb-24,Gungahlin College,Gov,Year 11,549
09-Feb-24,Gungahlin College,Gov,Year 12,555
09-Feb-24,Harrison School,Gov,Preschool,103
09-Feb-24,Harrison School,Gov,Kindergarten,103
09-Feb-24,Harrison School,Gov,Year 1,83
09-Feb-24,Harrison School,Gov,Year 2,130
09-Feb-24,Harrison School,Gov,Year 3,118
09-Feb-24,Harrison School,Gov,Year 4,143
09-Feb-24,Harrison School,Gov,Year 5,127
09-Feb-24,Harrison School,Gov,Year 6,131
09-Feb-24,Harrison School,Gov,Year 7,121
09-Feb-24,Harrison School,Gov,Year 8,155
09-Feb-24,Harrison School,Gov,Year 9,157
09-Feb-24,Harrison School,Gov,Year 10,143
09-Feb-24,Hawker College,Gov,Year 11,321
09-Feb-24,Hawker College,Gov,Year 12,335
09-Feb-24,Hawker Primary School,Gov,Preschool,42
09-Feb-24,Hawker Primary School,Gov,Kindergarten,40
09-Feb-24,Hawker Primary School,Gov,Year 1,40
09-Feb-24,Hawker Primary School,Gov,Year 2,48
09-Feb-24,Hawker Primary School,Gov,Year 3,45
09-Feb-24,Hawker Primary School,Gov,Year 4,53
09-Feb-24,Hawker Primary School,Gov,Year 5,48
09-Feb-24,Hawker Primary School,Gov,Year 6,49
09-Feb-24,Hughes Primary School,Gov,Preschool,43
09-Feb-24,Hughes Primary School,Gov,Kindergarten,55
09-Feb-24,Hughes Primary School,Gov,Year 1,52
09-Feb-24,Hughes Primary School,Gov,Year 2,69
09-Feb-24,Hughes Primary School,Gov,Year 3,66
09-Feb-24,Hughes Primary School,Gov,Year 4,71
09-Feb-24,Hughes Primary School,Gov,Year 5,62
09-Feb-24,Hughes Primary School,Gov,Year 6,55
09-Feb-24,Isabella Plains Early Childhood School,Gov,Preschool,48
09-Feb-24,Isabella Plains Early Childhood School,Gov,Kindergarten,28
09-Feb-24,Isabella Plains Early Childhood School,Gov,Year 1,26
09-Feb-24,Isabella Plains Early Childhood School,Gov,Year 2,22
09-Feb-24,Jervis Bay School,Gov,Preschool,9
09-Feb-24,Jervis Bay School,Gov,Preschool,17
09-Feb-24,Jervis Bay School,Gov,Kindergarten,10
09-Feb-24,Jervis Bay School,Gov,Year 1,9
09-Feb-24,Jervis Bay School,Gov,Year 2,8
09-Feb-24,Jervis Bay School,Gov,Year 3,7
09-Feb-24,Jervis Bay School,Gov,Year 4,12
09-Feb-24,Jervis Bay School,Gov,Year 5,4
09-Feb-24,Jervis Bay School,Gov,Year 6,4
09-Feb-24,Kaleen Primary School,Gov,Preschool,64
09-Feb-24,Kaleen Primary School,Gov,Kindergarten,46
09-Feb-24,Kaleen Primary School,Gov,Year 1,60
09-Feb-24,Kaleen Primary School,Gov,Year 2,63
09-Feb-24,Kaleen Primary School,Gov,Year 3,53
09-Feb-24,Kaleen Primary School,Gov,Year 4,64
09-Feb-24,Kaleen Primary School,Gov,Year 5,67
09-Feb-24,Kaleen Primary School,Gov,Year 6,66
09-Feb-24,Kingsford Smith School,Gov,Preschool,58
09-Feb-24,Kingsford Smith School,Gov,Kindergarten,47
09-Feb-24,Kingsford Smith School,Gov,Year 1,53
09-Feb-24,Kingsford Smith School,Gov,Year 2,39
09-Feb-24,Kingsford Smith School,Gov,Year 3,54
09-Feb-24,Kingsford Smith School,Gov,Year 4,41
09-Feb-24,Kingsford Smith School,Gov,Year 5,50
09-Feb-24,Kingsford Smith School,Gov,Year 6,57
09-Feb-24,Kingsford Smith School,Gov,Year 7,106
09-Feb-24,Kingsford Smith School,Gov,Year 8,103
09-Feb-24,Kingsford Smith School,Gov,Year 9,127
09-Feb-24,Kingsford Smith School,Gov,Year 10,115
09-Feb-24,Koori Preschool,Gov,Preschool,47
09-Feb-24,Koori Preschool,Gov,Preschool,67
09-Feb-24,Lake Tuggeranong College,Gov,Year 11,298
09-Feb-24,Lake Tuggeranong College,Gov,Year 12,343
09-Feb-24,Lanyon High School,Gov,Year 7,114
09-Feb-24,Lanyon High School,Gov,Year 8,142
09-Feb-24,Lanyon High School,Gov,Year 9,128
09-Feb-24,Lanyon High School,Gov,Year 10,106
09-Feb-24,Latham Primary School,Gov,Preschool,44
09-Feb-24,Latham Primary School,Gov,Kindergarten,40
09-Feb-24,Latham Primary School,Gov,Year 1,39
09-Feb-24,Latham Primary School,Gov,Year 2,60
09-Feb-24,Latham Primary School,Gov,Year 3,43
09-Feb-24,Latham Primary School,Gov,Year 4,51
09-Feb-24,Latham Primary School,Gov,Year 5,49
09-Feb-24,Latham Primary School,Gov,Year 6,54
09-Feb-24,Lyneham High School,Gov,Year 7,257
09-Feb-24,Lyneham High School,Gov,Year 8,269
09-Feb-24,Lyneham High School,Gov,Year 9,259
09-Feb-24,Lyneham High School,Gov,Year 10,265
09-Feb-24,Lyneham Primary School,Gov,Preschool,56
09-Feb-24,Lyneham Primary School,Gov,Kindergarten,53
09-Feb-24,Lyneham Primary School,Gov,Year 1,58
09-Feb-24,Lyneham Primary School,Gov,Year 2,61
09-Feb-24,Lyneham Primary School,Gov,Year 3,72
09-Feb-24,Lyneham Primary School,Gov,Year 4,82
09-Feb-24,Lyneham Primary School,Gov,Year 5,78
09-Feb-24,Lyneham Primary School,Gov,Year 6,73
09-Feb-24,Lyons Early Childhood School,Gov,Preschool,44
09-Feb-24,Lyons Early Childhood School,Gov,Kindergarten,46
09-Feb-24,Lyons Early Childhood School,Gov,Year 1,36
09-Feb-24,Lyons Early Childhood School,Gov,Year 2,21
09-Feb-24,Macgregor Primary School,Gov,Preschool,88
09-Feb-24,Macgregor Primary School,Gov,Kindergarten,79
09-Feb-24,Macgregor Primary School,Gov,Year 1,90
09-Feb-24,Macgregor Primary School,Gov,Year 2,71
09-Feb-24,Macgregor Primary School,Gov,Year 3,82
09-Feb-24,Macgregor Primary School,Gov,Year 4,84
09-Feb-24,Macgregor Primary School,Gov,Year 5,88
09-Feb-24,Macgregor Primary School,Gov,Year 6,58
09-Feb-24,Macquarie Primary School,Gov,Preschool,43
09-Feb-24,Macquarie Primary School,Gov,Kindergarten,26
09-Feb-24,Macquarie Primary School,Gov,Year 1,41
09-Feb-24,Macquarie Primary School,Gov,Year 2,52
09-Feb-24,Macquarie Primary School,Gov,Year 3,34
09-Feb-24,Macquarie Primary School,Gov,Year 4,32
09-Feb-24,Macquarie Primary School,Gov,Year 5,45
09-Feb-24,Macquarie Primary School,Gov,Year 6,37
09-Feb-24,Majura Primary School,Gov,Preschool,86
09-Feb-24,Majura Primary School,Gov,Kindergarten,90
09-Feb-24,Majura Primary School,Gov,Year 1,99
09-Feb-24,Majura Primary School,Gov,Year 2,98
09-Feb-24,Majura Primary School,Gov,Year 3,120
09-Feb-24,Majura Primary School,Gov,Year 4,106
09-Feb-24,Majura Primary School,Gov,Year 5,93
09-Feb-24,Majura Primary School,Gov,Year 6,104
09-Feb-24,Malkara School,Gov,Preschool,4
09-Feb-24,Malkara School,Gov,Kindergarten,7
09-Feb-24,Malkara School,Gov,Year 1,13
09-Feb-24,Malkara School,Gov,Year 2,5
09-Feb-24,Malkara School,Gov,Year 3,11
09-Feb-24,Malkara School,Gov,Year 4,5
09-Feb-24,Malkara School,Gov,Year 5,8
09-Feb-24,Malkara School,Gov,Year 6,8
09-Feb-24,Margaret Hendry School,Gov,Preschool,131
09-Feb-24,Margaret Hendry School,Gov,Kindergarten,103
09-Feb-24,Margaret Hendry School,Gov,Year 1,83
09-Feb-24,Margaret Hendry School,Gov,Year 2,85
09-Feb-24,Margaret Hendry School,Gov,Year 3,94
09-Feb-24,Margaret Hendry School,Gov,Year 4,84
09-Feb-24,Margaret Hendry School,Gov,Year 5,59
09-Feb-24,Margaret Hendry School,Gov,Year 6,49
09-Feb-24,Maribyrnong Primary School,Gov,Preschool,56
09-Feb-24,Maribyrnong Primary School,Gov,Kindergarten,69
09-Feb-24,Maribyrnong Primary School,Gov,Year 1,84
09-Feb-24,Maribyrnong Primary School,Gov,Year 2,75
09-Feb-24,Maribyrnong Primary School,Gov,Year 3,56
09-Feb-24,Maribyrnong Primary School,Gov,Year 4,60
09-Feb-24,Maribyrnong Primary School,Gov,Year 5,79
09-Feb-24,Maribyrnong Primary School,Gov,Year 6,66
09-Feb-24,Mawson Primary School,Gov,Preschool,64
09-Feb-24,Mawson Primary School,Gov,Kindergarten,79
09-Feb-24,Mawson Primary School,Gov,Year 1,80
09-Feb-24,Mawson Primary School,Gov,Year 2,72
09-Feb-24,Mawson Primary School,Gov,Year 3,64
09-Feb-24,Mawson Primary School,Gov,Year 4,61
09-Feb-24,Mawson Primary School,Gov,Year 5,59
09-Feb-24,Mawson Primary School,Gov,Year 6,57
09-Feb-24,Melba Copland Secondary School,Gov,Year 7,158
09-Feb-24,Melba Copland Secondary School,Gov,Year 8,154
09-Feb-24,Melba Copland Secondary School,Gov,Year 9,199
09-Feb-24,Melba Copland Secondary School,Gov,Year 10,175
09-Feb-24,Melba Copland Secondary School,Gov,Year 11,138
09-Feb-24,Melba Copland Secondary School,Gov,Year 12,105
09-Feb-24,Melrose High School,Gov,Year 7,185
09-Feb-24,Melrose High School,Gov,Year 8,183
09-Feb-24,Melrose High School,Gov,Year 9,205
09-Feb-24,Melrose High School,Gov,Year 10,224
09-Feb-24,Miles Franklin Primary School,Gov,Preschool,66
09-Feb-24,Miles Franklin Primary School,Gov,Kindergarten,48
09-Feb-24,Miles Franklin Primary School,Gov,Year 1,58
09-Feb-24,Miles Franklin Primary School,Gov,Year 2,63
09-Feb-24,Miles Franklin Primary School,Gov,Year 3,76
09-Feb-24,Miles Franklin Primary School,Gov,Year 4,60
09-Feb-24,Miles Franklin Primary School,Gov,Year 5,67
09-Feb-24,Miles Franklin Primary School,Gov,Year 6,66
09-Feb-24,Monash Primary School,Gov,Preschool,58
09-Feb-24,Monash Primary School,Gov,Kindergarten,64
09-Feb-24,Monash Primary School,Gov,Year 1,58
09-Feb-24,Monash Primary School,Gov,Year 2,73
09-Feb-24,Monash Primary School,Gov,Year 3,53
09-Feb-24,Monash Primary School,Gov,Year 4,61
09-Feb-24,Monash Primary School,Gov,Year 5,62
09-Feb-24,Monash Primary School,Gov,Year 6,55
09-Feb-24,Mount Rogers Primary School,Gov,Preschool,76
09-Feb-24,Mount Rogers Primary School,Gov,Kindergarten,68
09-Feb-24,Mount Rogers Primary School,Gov,Year 1,67
09-Feb-24,Mount Rogers Primary School,Gov,Year 2,70
09-Feb-24,Mount Rogers Primary School,Gov,Year 3,63
09-Feb-24,Mount Rogers Primary School,Gov,Year 4,70
09-Feb-24,Mount Rogers Primary School,Gov,Year 5,74
09-Feb-24,Mount Rogers Primary School,Gov,Year 6,54
09-Feb-24,Mount Stromlo High School,Gov,Year 7,186
09-Feb-24,Mount Stromlo High School,Gov,Year 8,201
09-Feb-24,Mount Stromlo High School,Gov,Year 9,241
09-Feb-24,Mount Stromlo High School,Gov,Year 10,215
09-Feb-24,Namadgi School,Gov,Preschool,51
09-Feb-24,Namadgi School,Gov,Kindergarten,54
09-Feb-24,Namadgi School,Gov,Year 1,30
09-Feb-24,Namadgi School,Gov,Year 2,53
09-Feb-24,Namadgi School,Gov,Year 3,60
09-Feb-24,Namadgi School,Gov,Year 4,64
09-Feb-24,Namadgi School,Gov,Year 5,60
09-Feb-24,Namadgi School,Gov,Year 6,57
09-Feb-24,Namadgi School,Gov,Year 7,66
09-Feb-24,Namadgi School,Gov,Year 8,63
09-Feb-24,Namadgi School,Gov,Year 9,64
09-Feb-24,Namadgi School,Gov,Year 10,65
09-Feb-24,Narrabundah College,Gov,Year 11,519
09-Feb-24,Narrabundah College,Gov,Year 12,489
09-Feb-24,Narrabundah Early Childhood School,Gov,Preschool,20
